category,inclination,eccentricity,period,perigee,apogee
active,53.054044812834555,0.0001118,21139.18398527331,246845.50361533155,246902.13072165044
active,53.05354481241221,9.97e-05,21908.103880144175,252952.53192578684,253004.24758990455
active,53.054044812834555,0.0001582,21908.254303049933,252938.54656317984,253020.60730052108
active,53.05464481334135,0.0001101,21908.226583078533,252950.80291419325,253007.91340445992
active,53.05414481291901,0.0001556,21908.29223269423,252939.52019581152,253020.23236691032
active,53.05604481452388,0.0001518,21908.297715632973,252940.54902177685,253019.29008615346
active,53.052644811652016,0.0001571,21908.542516373578,252941.1061409336,253022.59700629805
active,53.05564481418601,0.0001257,21908.18136738905,252946.40013122483,253011.60248135318
active,53.05464481334135,0.0001192,21908.180625672958,252948.08009862824,253009.91080634415
active,53.05474481342581,0.0001075,21908.279187092397,252951.89236184643,253007.65428311075
active,53.052644811652016,0.000169,21857.856741002604,252537.9107833045,252625.43915344385
active,53.05434481308795,0.0001296,21908.17824054704,252945.36396432383,253012.58929266589
active,35.02682958589726,0.0002008,21244.173231401615,247660.63204981328,247762.67445455934
active,53.053444812327754,0.0001979,21202.440712684624,247328.56622637846,247429.0031617604
active,53.05444481317242,0.0001871,21822.48037440587,252253.78752936024,252350.5856551831
active,53.05574481427048,0.0001389,21908.104941808804,252942.37353306843,253014.42274047082
active,53.052644811652016,9.56e-05,21897.08511443437,252866.6334427354,252916.20575576276
active,53.05494481359475,0.0001187,21908.271159037453,252948.92420304456,253010.49572338985
active,53.05444481317242,0.0001338,21908.30487109031,252945.2739292702,253014.67812365483
active,53.05524481384815,0.0001248,21908.353286899055,252947.9902117842,253012.72605797468
active,53.05484481351028,0.0001454,21908.468371655363,252943.5555711116,253018.9772457832
active,53.05414481291901,0.0001272,21908.242290084145,252946.4918509887,253012.47239444076
active,53.05504481367922,8.8e-05,21908.17826963394,252956.15344409217,253001.80027201923
active,53.05414481291901,0.0001164,21411.42175372677,249013.75572767123,249073.21784979568
active,53.05484481351028,0.0002118,21430.9647102041,249144.75341098558,249253.01577930007
active,53.05294481190542,0.0001215,21218.55389603033,247476.48609307778,247538.18022903596
active,53.053844812665616,0.0001324,21908.195140047937,252944.7711220691,253013.44888479804
active,53.05334481224329,0.0001356,21908.33791423849,252945.0678335149,253015.40578733786
active,53.053644812496685,0.0001245,21908.251467058035,252947.2645339992,253011.84456508208
active,53.05424481300348,0.0001252,21908.032661588895,252945.35633318464,253010.29903243645
active,53.052244811314154,0.0001167,21908.24282819492,252949.21935095187,253009.75338827053
active,53.05374481258115,0.0001043,21908.18482873147,252951.9776859546,253006.07956212558
active,53.05374481258115,0.000127,21908.06384237376,252945.1355482378,253011.01199097527
