id,category,satellite_name,tle_line1,tle_line2,inclination,eccentricity,period,perigee,apogee,epoch,raan,arg_perigee,mean_anomaly,mean_motion,semi_major_axis,velocity,orbit_type,satellite_age,bstar,rev_num,norad_number,ephemeris_type,intl_designator
6321,active,AAC-HSI-SAT1,1 56225U 23054AZ  25017.61884957  .00004635  00000+0  29632-3 0  9999,2 56225  97.4397 265.5393 0012230 100.4861 259.7747 15.09032211 97519,97.4397,0.001223,95.42539844432784,530.8330899298635,547.7527884591327,2025-01-17 14:51:08.602848,265.5393,100.4861,15.09032211,15.09032211,6917.292939194498,7.591031680166461,LEO,2,0.00029632,9751,56225,0,23054AZ
6323,active,SKYKRAFT-3C,1 56228U 23084BM  25017.61135974  .00364556  00000+0  22297-2 0  9993,2 56228  97.5406 152.1242 0007821 294.5451  65.4999 15.76297221 89338,97.5406,0.0007821,91.35332986798434,335.82432820275244,346.3343120753134,2025-01-17 14:40:21.481536,152.1242,294.5451,15.76297221,15.76297221,6719.079320139033,7.702186029248625,LEO,2,0.0022297000000000003,8933,56228,0,23084BM
6324,active,FENGYUN 3G,1 56232U 23055A   25017.59209578  .00052683  00000+0  78737-3 0  9991,2 56232  49.9952 124.8376 0028325 222.6612 137.2156 15.53982340 99867,49.9952,0.0028325,92.6651457313215,386.03590156868177,424.46300973495,2025-01-17 14:12:37.075392,124.8376,222.6612,15.5398234,15.5398234,6783.249455651816,7.665667779458569,LEO,2,0.00078737,9986,56232,0,23055A
6326,active,STARLINK-30106,1 56288U 23056C   25017.18419884  .00000337  00000+0  40041-4 0  9998,2 56288  43.0059 313.2098 0001467 273.2828  86.7847 15.02532919 97371,43.0059,0.0001467,95.83816645816863,558.2083256772185,560.2437077905279,2025-01-17 04:25:14.779776,313.2098,273.2828,15.02532919,15.02532919,6937.226016733874,7.580117989832281,LEO,2,4.0041e-05,9737,56288,0,23056C
6327,active,STARLINK-30095,1 56289U 23056D   25017.08170601  .00000073  00000+0  20480-4 0  9991,2 56289  43.0019 287.9987 0000931 254.2121 105.8619 15.02533858 97656,43.0019,9.31e-05,95.83810656465089,558.5772710071678,559.8689819533183,2025-01-17 01:57:39.399264,287.9987,254.21209999999996,15.02533858,15.02533858,6937.223126480243,7.580119568883498,LEO,2,2.048e-05,9765,56289,0,23056D
6330,active,STARLINK-30098,1 56292U 23056G   25017.50992455  .00000426  00000+0  46638-4 0  9996,2 56292  43.0084 311.3424 0001352 269.1590  90.9097 15.02532066 97422,43.00840000000001,0.0001352,95.83822086629597,558.2907289686127,560.1665555934851,2025-01-17 12:14:17.48112,311.3424,269.159,15.02532066,15.02532066,6937.228642281049,7.580116555400731,LEO,2,4.6638e-05,9742,56292,0,23056G
6331,active,STARLINK-30090,1 56293U 23056H   25017.50337569  .00000643  00000+0  62686-4 0  9998,2 56293  43.0050 312.1365 0001600 264.3460  95.7199 15.02541304 97418,43.005,0.00016,95.83763162892726,558.0902556733608,560.3101597398272,2025-01-17 12:04:51.659616,312.1365,264.346,15.02541304,15.02541304,6937.2002077065945,7.58013209028233,LEO,2,6.2686e-05,9741,56293,0,23056H
6294,active,DEWASAT-2,1 56180U 23054C   25017.52326653  .00150558  00000+0  74225-3 0  9997,2 56180  97.3415 289.6443 0006303  94.4054 265.7935 15.81685129 99589,97.34150000000001,0.0006303,91.04214066363647,321.586492210673,330.03731749793224,2025-01-17 12:33:30.228192,289.6443,94.4054,15.81685129,15.81685129,6703.811904854302,7.710951609082719,LEO,2,0.00074225,9958,56180,0,23054C
2657,active,STARLINK-2290,1 47994U 21024T   25017.58334491  .00450804  88404-4  14117-2 0  9999,2 47994  53.0505 356.4293 0002582 116.9520 322.2232 15.90939959  6018,53.0505,0.0002582,90.51252951777798,298.064112312657,301.51252219968774,2025-01-17 14:00:01.000224,356.4293,116.952,15.90939959,15.90939959,6677.788317256172,7.725961930901949,LEO,2,0.0014116999999999999,601,47994,0,21024T
6339,active,STARLINK-30101,1 56301U 23056R   25017.53657005  .00006595  00000+0  50313-3 0  9996,2 56301  43.0038 311.5312 0001223 265.6442  94.4261 15.02510306 97485,43.0038,0.0001223,95.8396088365999,558.4471894827511,560.1440519915823,2025-01-17 12:52:39.65232,311.5312,265.6442,15.02510306,15.02510306,6937.295620737167,7.580079962918783,LEO,2,0.00050313,9748,56301,0,23056R
6344,active,POEM-2,1 56308U 23057A   25017.29950217  .00003917  00000+0  30628-3 0  9990,2 56308   9.8902  44.4339 0021937 176.5264 183.5100 14.92349920 94994,9.8902,0.0021937,96.49211493240138,575.4601794548407,606.0348623280006,2025-01-17 07:11:16.987488,44.4339,176.5264,14.9234992,14.9234992,6968.74752089142,7.562955111821641,LEO,2,0.00030628000000000003,9499,56308,0,23057A
6338,active,STARLINK-30104,1 56300U 23056Q   25017.50660004  .00004541  00000+0  35116-3 0  9998,2 56300  43.0042 311.3286 0001017 262.0243  98.0484 15.02516979 97487,43.0042,0.0001017,95.8391831923518,558.5695598349166,559.9806015863342,2025-01-17 12:09:30.243456,311.3286,262.0243,15.02516979,15.02516979,6937.275080710625,7.580091184538697,LEO,2,0.00035116000000000005,9748,56300,0,23056Q
6346,active,TELEOS-2,1 56310U 23057C   25017.54183803  .00013537  00000+0  11003-2 0  9994,2 56310   9.9903 358.7140 0000822 259.6716 100.3405 14.96441303 95432,9.9903,8.22e-05,96.22829823750195,577.4678863132804,578.6114592354852,2025-01-17 13:00:14.805792,358.714,259.6716,14.96441303,14.96441303,6956.039672774383,7.569860264365433,LEO,2,0.0011003,9543,56310,0,23057C
6348,active,STARLINK-5954,1 56318U 23058B   25017.56259330  .00001776  00000+0  14280-3 0  9997,2 56318  97.6596  21.2530 0000441  76.6440 283.4833 15.01273865 95346,97.6596,4.41e-05,95.91854181781817,562.7980080491452,563.4102134317127,2025-01-17 13:30:08.06112,21.253,76.644,15.01273865,15.01273865,6941.104110740429,7.578000133877932,LEO,2,0.0001428,9534,56318,0,23058B
6350,active,STARLINK-5988,1 56320U 23058D   25017.56656251 -.00000136  00000+0 -59670-5 0  9998,2 56320  97.6572  21.2453 0001843 127.6619 232.4773 15.01258984 95352,97.6572,0.0001843,95.91949259568926,561.8707251452206,564.4292330275111,2025-01-17 13:35:51.000864,21.2453,127.6619,15.01258984,15.01258984,6941.149979086366,7.577975095454405,LEO,2,-5.967000000000001e-06,9535,56320,0,23058D
6351,active,STARLINK-5876,1 56321U 23058E   25017.55520749  .00027164  00000+0  21104-2 0  9996,2 56321  97.6567  21.2727 0002700 117.8407 242.3091 15.01274518 95343,97.6567,0.00027,95.91850009672915,561.2280004213599,564.9761955542735,2025-01-17 13:19:29.927136,21.2727,117.8407,15.01274518,15.01274518,6941.102097987817,7.578001232596713,LEO,2,0.0021104,9534,56321,0,23058E
6355,active,STARLINK-5981,1 56325U 23058J   25017.54965988  .00001054  00000+0  86633-4 0  9997,2 56325  97.6580  21.2837 0002156  85.4631 274.6840 15.01260663 95692,97.658,0.0002156,95.91938531996293,561.6482929748727,564.6413146142695,2025-01-17 13:11:30.613632,21.2837,85.4631,15.01260663,15.01260663,6941.144803794571,7.577977920508927,LEO,2,8.663300000000001e-05,9569,56325,0,23058J
6356,active,STARLINK-5980,1 56326U 23058K   25017.55915596  .00000443  00000+0  39055-4 0  9996,2 56326  97.6595  21.2635 0001972  87.5265 272.6185 15.01262818 95342,97.65950000000001,0.0001972,95.91924763169615,561.7693688654908,564.5069537563113,2025-01-17 13:25:11.074944,21.2635,87.5265,15.01262818,15.01262818,6941.1381613109015,7.577981546469206,LEO,2,3.9055000000000005e-05,9534,56326,0,23058K
6359,active,STARLINK-5984,1 56329U 23058N   25017.54780360  .00000534  00000+0  46161-4 0  9994,2 56329  97.6585  21.2866 0003452  74.8672 285.2934 15.01260446 95691,97.6585,0.0003452,95.9193991846502,560.7493892501934,565.5415560845222,2025-01-17 13:08:50.23104,21.2866,74.8672,15.01260446,15.01260446,6941.145472667358,7.577977555388835,LEO,2,4.616100000000001e-05,9569,56329,0,23058N
6342,active,STARLINK-30094,1 56305U 23056V   25017.52322644 -.00000518  00000+0 -23296-4 0  9999,2 56305  43.0026 311.3468 0001242 263.1139  96.9562 15.02537313 97481,43.0026,0.0001242,95.83788619031786,558.3508901818614,560.074093764867,2025-01-17 12:33:26.764416,311.3468,263.1139,15.02537313,15.02537313,6937.212491973364,7.5801253789118705,LEO,2,-2.3296000000000002e-05,9748,56305,0,23056V
6360,active,STARLINK-5967,1 56330U 23058P   25017.58908742  .00004873  00000+0  36381-3 0  9998,2 56330  97.6608  21.3897 0004053  57.8989 302.2629 15.03287321 95700,97.66080000000001,0.0004053,95.79007152419135,554.0942109864918,559.7156449210916,2025-01-17 14:08:17.153088,21.3897,57.8989,15.03287321,15.03287321,6934.904927953792,7.5813864033919165,LEO,2,0.00036381000000000006,9570,56330,0,23058P
6362,active,STARLINK-5093,1 56332U 23058R   25017.55335765  .00000241  00000+0  23382-4 0  9999,2 56332  97.6596  21.2770 0002127  87.8631 272.2837 15.01260179 95699,97.6596,0.0002127,95.9194162439714,561.6699138414333,564.622677475606,2025-01-17 13:16:50.10096,21.277,87.8631,15.01260179,15.01260179,6941.146295658519,7.5779771061396435,LEO,2,2.3382e-05,9569,56332,0,23058R
6364,active,STARLINK-5548,1 56334U 23058T   25017.54409845 -.00000861  00000+0 -62454-4 0  9994,2 56334  97.6572  21.2910 0003534  80.2635 279.8988 15.01262911 95691,97.6572,0.0003534,95.9192416897056,560.6848765269706,565.5908727767746,2025-01-17 13:03:30.10608,21.291,80.2635,15.01262911,15.01262911,6941.137874651872,7.577981702949084,LEO,2,-6.2454e-05,9569,56334,0,23058T
6365,active,STARLINK-5559,1 56335U 23058U   25017.60175639  .00002167  00000+0  17331-3 0  9995,2 56335  97.6562  21.3682 0003897  44.2840 315.8695 15.01249152 95708,97.65620000000001,0.0003897,95.92012079284758,560.4753071412097,565.8852630554156,2025-01-17 14:26:31.752096,21.3682,44.284,15.01249152,15.01249152,6941.180285098313,7.5779585522697435,LEO,2,0.00017331,9570,56335,0,23058U
